Tiempo_Ejecucion,Complejidad,Tamaño_Tarea,Carga_Trabajo_R1,Experiencia_R1,Experiencia_Equipo,Claridad_Requisitos,Experiencia del Encuestado,Tipo_Tarea,Fase_Tarea,Cantidad_Recursos,Carga_Trabajo_R2,Experiencia_R2,Carga_Trabajo_R3,Experiencia_R3
128.9291762556062,1,3,3,2,3,2,Mid-Level,Database,Transición/Implementación,2,1.0,3.0,,
82.63099133393413,5,5,3,4,2,3,Junior,Database,Mantenimiento,1,,,,
161.63645323334546,1,3,3,2,5,5,Junior,Database,Elaboración/Requisitos,3,1.0,3.0,1.0,2.0
136.88657102868913,4,8,3,2,3,5,Mid-Level,Database,Mantenimiento,1,,,,
189.0975074233176,3,5,3,4,4,3,Senior,Documentación,Construcción/Desarrollo,3,3.0,5.0,3.0,5.0
213.17223901249346,2,3,1,2,2,1,Junior,Análisis,Mantenimiento,3,2.0,3.0,3.0,3.0
105.60947137471645,5,3,2,5,3,3,Junior,Database,Elaboración/Requisitos,1,,,,
91.44456783687366,5,13,2,1,4,5,Senior,Frontend,Transición/Implementación,1,,,,
207.27402667280336,3,5,3,5,4,5,Junior,Documentación,Transición/Implementación,3,1.0,5.0,1.0,4.0
143.3441446762802,2,2,2,2,4,2,Senior,DevOps,Transición/Implementación,1,,,,
109.55709445791128,3,2,2,5,5,1,Senior,Documentación,Inicio/Conceptualización,3,1.0,5.0,2.0,4.0
95.43867321351384,1,2,1,2,2,5,Junior,Database,Transición/Implementación,1,,,,
77.46254808041057,5,5,3,5,3,4,Junior,DevOps,Elaboración/Requisitos,1,,,,
205.23274667873451,2,5,1,4,5,4,Junior,Testing,Mantenimiento,3,1.0,4.0,1.0,1.0
106.61330389482524,4,13,2,1,4,1,Senior,DevOps,Transición/Implementación,2,1.0,1.0,,
104.59964496082101,2,1,1,1,2,2,Senior,Testing,Transición/Implementación,1,,,,
85.66157066293118,1,1,3,4,3,5,Mid-Level,Documentación,Transición/Implementación,1,,,,
106.73911825652714,1,13,1,1,4,1,Mid-Level,Backend,Mantenimiento,1,,,,
213.4211944777168,4,5,2,5,4,1,Mid-Level,Backend,Mantenimiento,3,3.0,5.0,3.0,5.0
158.1153267785127,5,13,1,4,3,2,Mid-Level,Documentación,Inicio/Conceptualización,2,2.0,2.0,,
164.1935240015055,4,13,2,5,1,5,Junior,Frontend,Elaboración/Requisitos,3,1.0,5.0,2.0,5.0
69.40697268985838,1,13,1,5,5,1,Senior,Database,Transición/Implementación,1,,,,
31.568742822067815,1,3,3,5,1,2,Junior,Testing,Construcción/Desarrollo,1,,,,
179.1057194308482,4,21,3,1,3,4,Mid-Level,Database,Construcción/Desarrollo,3,1.0,2.0,1.0,1.0
122.04093624090618,2,5,2,2,2,2,Senior,Backend,Transición/Implementación,2,3.0,2.0,,
91.46107147608863,3,2,2,2,3,4,Junior,Documentación,Inicio/Conceptualización,1,,,,
208.63551591276996,3,2,2,2,1,3,Junior,Database,Mantenimiento,3,2.0,5.0,1.0,4.0
187.66809041471782,4,8,2,1,3,5,Senior,Database,Construcción/Desarrollo,3,1.0,2.0,1.0,1.0
100.30967637748283,1,5,1,5,3,5,Mid-Level,DevOps,Elaboración/Requisitos,1,,,,
100.50229439502165,2,13,2,4,1,2,Mid-Level,Frontend,Transición/Implementación,1,,,,
83.61118466471596,3,21,1,1,2,3,Senior,Database,Construcción/Desarrollo,1,,,,
171.96064360164598,5,2,1,1,5,3,Mid-Level,Frontend,Transición/Implementación,3,1.0,1.0,2.0,1.0
173.33744311453404,2,2,1,3,1,3,Senior,Testing,Elaboración/Requisitos,3,1.0,4.0,1.0,5.0
93.67129452608992,5,1,2,1,4,2,Junior,Database,Elaboración/Requisitos,1,,,,
187.55538325472037,5,13,3,4,4,4,Mid-Level,Testing,Transición/Implementación,3,1.0,5.0,1.0,5.0
117.56705543417537,4,1,1,1,2,5,Mid-Level,Análisis,Elaboración/Requisitos,2,2.0,1.0,,
67.48661243751658,4,3,2,1,2,2,Senior,Testing,Transición/Implementación,1,,,,
123.16409653104208,2,21,1,5,2,2,Mid-Level,Testing,Transición/Implementación,3,2.0,2.0,1.0,1.0
133.59062829194772,5,21,2,3,4,1,Mid-Level,Análisis,Transición/Implementación,1,,,,
96.68230403901825,4,5,2,5,4,3,Mid-Level,Documentación,Inicio/Conceptualización,1,,,,
184.3677131884593,5,8,2,5,1,4,Junior,Análisis,Transición/Implementación,3,1.0,4.0,1.0,4.0
77.54165151178451,4,8,3,4,3,1,Senior,Database,Construcción/Desarrollo,1,,,,
162.18128595331018,2,21,2,4,3,4,Senior,Frontend,Inicio/Conceptualización,3,3.0,3.0,2.0,5.0
138.96712071622716,3,5,2,1,2,4,Mid-Level,Database,Construcción/Desarrollo,2,1.0,1.0,,
112.33264323212629,2,5,2,1,1,1,Junior,Análisis,Mantenimiento,2,2.0,1.0,,
141.60080572123883,2,1,2,1,4,3,Junior,Frontend,Mantenimiento,3,3.0,1.0,3.0,1.0
100.79669828050909,3,5,1,4,4,5,Senior,Documentación,Transición/Implementación,1,,,,
136.88446394156813,1,8,1,3,2,5,Mid-Level,Testing,Mantenimiento,2,1.0,3.0,,
72.96351305312501,4,13,2,4,3,1,Senior,Documentación,Transición/Implementación,1,,,,
85.69248408452451,1,21,2,1,3,3,Senior,Database,Elaboración/Requisitos,1,,,,
88.80431719937212,4,8,2,2,2,5,Junior,Análisis,Mantenimiento,1,,,,
113.44067421161066,5,5,2,4,3,1,Mid-Level,DevOps,Elaboración/Requisitos,1,,,,
95.69874471137018,5,21,1,2,3,4,Senior,Database,Inicio/Conceptualización,1,,,,
98.54447791505703,2,5,1,3,3,5,Junior,Backend,Elaboración/Requisitos,1,,,,
249.02619156260548,4,2,2,4,3,3,Mid-Level,Testing,Construcción/Desarrollo,3,1.0,4.0,1.0,4.0
151.90174777312833,2,13,1,5,4,5,Junior,Testing,Construcción/Desarrollo,3,1.0,4.0,1.0,2.0
188.44090067993992,4,5,3,5,2,2,Junior,Backend,Mantenimiento,3,1.0,5.0,2.0,3.0
176.29866703592782,5,13,2,5,4,5,Mid-Level,DevOps,Inicio/Conceptualización,3,1.0,5.0,1.0,5.0
114.58724994443914,5,5,1,3,2,3,Junior,Database,Construcción/Desarrollo,1,,,,
212.64219774888673,5,2,2,4,4,5,Senior,DevOps,Transición/Implementación,3,2.0,4.0,1.0,5.0
154.9514674149542,4,21,2,4,1,3,Junior,Testing,Inicio/Conceptualización,2,1.0,4.0,,
164.35748259740203,3,21,1,5,4,4,Mid-Level,Database,Mantenimiento,2,1.0,5.0,,
