Feature,Importance,Std,Index,Importance_Normalized,Segment
Exp_R1,2126.6238558451337,267.2146165798692,3,0.2947051097572297,1_Recurso
Tamaño,1510.6418408711752,159.8947439288463,10,0.20934302429372514,1_Recurso
Complejidad,1256.0006136576335,143.63932580849962,0,0.1740551332976658,1_Recurso
Carga_R1,1108.9472078959147,121.54720420638935,2,0.1536766399566517,1_Recurso
Claridad_Req,579.1530815124512,92.65354691446673,9,0.08025837384652854,1_Recurso
Fase_3,82.20126368204753,10.113410799288525,21,0.011391357418011084,1_Recurso
Fase_4,74.03222223917643,12.426092737933095,22,0.010259300966929872,1_Recurso
Exp_Equipo,73.9995007832845,12.419954430126808,8,0.010254766464872283,1_Recurso
Fase_1,68.0047487894694,10.467243452305544,19,0.009424020567120394,1_Recurso
Fase_2,59.27588780721029,8.301874920971379,20,0.008214384962421523,1_Recurso
Fase_0,57.30873438517253,7.626541705233126,18,0.007941779083597427,1_Recurso
Tipo_0,45.56835657755534,7.2076546593776785,11,0.006314810910135383,1_Recurso
Tipo_3,33.40420150756836,5.477988371312462,14,0.004629116166727251,1_Recurso
Tipo_1,32.62896601359049,5.994964395731937,12,0.004521684915679965,1_Recurso
Tipo_5,28.861243947347006,7.307425821066058,16,0.003999558286650048,1_Recurso
Tipo_4,28.571875254313152,5.691376646392998,15,0.003959457903027219,1_Recurso
Tipo_2,26.092933400472006,9.291235313350635,13,0.0036159289667228173,1_Recurso
Tipo_6,24.791315460205077,7.799682667415391,17,0.0034355522363038395,1_Recurso
Cantidad_Recursos,0.0,0.0,1,0.0,1_Recurso
