Feature,Importancia_1_Recurso,Importancia_2_Recursos,Importancia_3_Recursos
Tamaño,0.7834239143969204,0.8002615883952763,0.8078266170301455
Complejidad,0.12152403792511592,0.12149149950032631,0.1191617447194474
Claridad_Req,0.0451903717833581,0.04213371563533179,0.04141938118402412
Exp_Equipo,0.02075064225765162,0.02039311794932727,0.02075463365143406
Exp_R1,0.027803628875815462,0.007488131097331936,0.002743388735000832
Exp_R2,0.0,0.006850987943488713,0.003556050970477019
Exp_R3,0.0,0.0,0.003364944831938046
Fase_2,0.0002231639669113116,0.00025192847141669984,0.00018468676673806091
Fase_1,0.00018504701906391557,0.000194577746359909,0.00018709801410674254
Fase_0,0.00024060760952598288,0.00020848950231911568,0.00015039063468865087
