Feature1,Feature2,Interaction,Normalized_Interaction
Tamaño_Tarea,Complejidad,-919.3412536621095,-0.5564638609283105
Tamaño_Tarea,Experiencia_R1,-989.0317993164062,-0.5243448200355182
Tamaño_Tarea,Experiencia_R2,-1063.947021484375,-0.5854020901037983
Carga_Trabajo_R2,Tamaño_Tarea,-1189.7452026367187,-0.5775312611235078
Experiencia_R2,Complejidad,-1195.8146240234373,-0.775924264426856
Experiencia_R1,Complejidad,-1196.586779785156,-0.7432636060274032
Experiencia_R1,Experiencia_R2,-1412.3652465820312,-0.7955824034613879
Carga_Trabajo_R2,Experiencia_R1,-1512.3490661621095,-0.7494856662773304
Carga_Trabajo_R2,Complejidad,-1719.3705261230468,-0.963914102765796
Carga_Trabajo_R2,Experiencia_R2,-1811.6317352294923,-0.9294762226700528
