idrequerimiento,complejidad,prioridad,tipo_tarea,duracion
1805,5,2,frontend,12.3
3281,2,2,database,11.5
4026,1,3,testing,3.4
3466,3,3,deployment,2.1
725,3,2,database,14.2
122,4,2,database,16.8
4632,2,3,deployment,2.0
1318,5,3,testing,7.5
1684,4,3,database,15.5
3463,5,3,database,17.3
2692,2,2,frontend,7.1
224,3,3,backend,9.8
1514,4,3,database,15.1
2700,5,1,database,22.4
4522,2,1,database,13.0
3822,1,2,backend,7.1
1857,3,2,testing,5.7
2349,1,3,deployment,2.0
1501,3,3,deployment,2.8
3307,3,1,database,16.3
3444,1,3,deployment,1.1
514,2,3,frontend,6.6
3523,4,2,testing,6.6
1435,3,2,frontend,9.0
218,2,3,testing,4.6
4739,2,3,frontend,5.8
1977,2,3,database,10.0
4399,1,2,frontend,5.3
322,2,1,testing,5.3
1075,1,1,database,9.9
1872,3,3,testing,5.2
4188,2,3,backend,8.5
1481,5,3,testing,6.8
3876,5,1,backend,17.8
4807,2,1,testing,5.4
723,3,2,database,13.9
3468,1,3,frontend,5.0
1610,1,1,deployment,2.0
4155,4,3,backend,11.8
3887,5,3,deployment,3.1
3486,1,3,deployment,1.9
2929,3,3,frontend,7.5
4044,3,2,database,14.6
4857,3,2,deployment,3.0
3159,5,2,database,19.5
4811,3,2,database,14.1
511,5,3,backend,13.9
1362,1,2,database,8.8
2840,1,2,database,9.4
2636,3,3,deployment,2.8
56,2,3,testing,4.3
4300,5,3,deployment,3.4
2551,3,2,backend,11.1
1420,3,2,deployment,3.4
3754,1,1,deployment,2.3
2530,2,1,testing,5.5
1164,2,3,testing,4.1
3670,1,1,testing,4.3
3647,5,3,frontend,10.3
1324,2,2,testing,4.3
1997,4,3,deployment,2.8
4915,3,1,database,15.5
4800,4,2,frontend,10.7
2047,5,3,database,17.3
654,1,2,testing,3.5
4512,1,2,frontend,5.1
31,2,3,deployment,2.0
4521,2,2,frontend,6.8
479,3,2,testing,6.0
173,3,1,testing,6.8
993,5,2,deployment,4.0
2499,1,3,deployment,1.5
1445,2,2,database,11.6
1445,3,2,testing,5.8
3163,3,2,testing,5.6
56,5,2,frontend,12.1
1176,4,3,frontend,8.9
129,1,3,deployment,1.6
435,5,1,deployment,4.2
4994,1,2,frontend,5.5
4877,2,3,deployment,2.5
99,2,3,backend,8.5
2139,4,2,frontend,10.0
3392,4,1,backend,15.4
4220,5,2,testing,8.1
2689,3,1,frontend,9.3
1633,4,3,frontend,8.7
4195,5,3,frontend,11.0
4396,3,1,frontend,9.6
199,2,1,backend,10.3
3187,3,1,backend,12.7
3672,4,3,testing,6.1
2934,4,2,deployment,3.4
3099,3,3,backend,10.2
2162,4,3,frontend,8.9
2555,4,1,backend,14.8
2743,4,2,deployment,3.9
3896,3,1,database,16.2
1532,4,2,frontend,10.3
1466,3,1,testing,6.1
1199,1,3,testing,3.4
936,1,1,backend,7.5
2720,1,3,deployment,1.7
1489,5,1,database,22.3
3221,2,2,backend,8.9
3709,1,1,testing,4.4
1677,2,1,testing,5.4
1577,1,2,deployment,1.5
3529,2,2,backend,9.4
2052,1,1,backend,8.2
702,2,3,database,10.4
3922,5,3,deployment,3.7
570,2,1,testing,5.3
747,2,1,deployment,2.3
4495,4,1,database,18.8
254,1,2,database,9.2
3236,1,1,testing,4.4
983,1,2,backend,6.7
4735,1,3,backend,6.8
3759,2,3,testing,4.1
4092,1,1,backend,8.3
2509,1,3,backend,6.0
4899,5,3,testing,7.1
2048,3,3,database,13.2
3037,1,1,deployment,1.7
3171,4,3,frontend,9.5
1721,5,2,testing,7.7
3133,4,1,backend,14.8
2060,3,3,testing,4.6
2981,3,3,testing,5.0
3995,1,3,testing,2.8
4863,2,3,database,10.0
2174,3,1,frontend,9.8
2696,5,3,database,17.3
4154,2,2,database,12.0
2054,1,3,backend,6.4
3547,5,3,deployment,3.4
1316,2,1,testing,5.0
1605,1,2,backend,7.1
4579,4,1,backend,15.2
4965,3,3,backend,10.3
943,2,1,backend,10.4
3121,3,3,frontend,7.3
2531,4,3,testing,6.1
4669,3,3,backend,9.8
